Driver,Laps Led,Laps Completed,Percentage
Lewis Hamilton,613,950,
Valtteri Bottas,188,994,
Max Verstappen,87,795,
Sergio Perez,26,879,
Daniel Ricciardo,0,979,
Carlos Sainz Jr.,5,882,
Alexander Albon,1,994,
Charles Leclerc,0,822,
Lando Norris,0,1015,
Pierre Gasly,26,864,
Lance Stroll,32,785,
Esteban Ocon,0,861,
Sebastian Vettel,0,914,
Daniil Kvyat,0,986,
Nico Hulkenberg,0,112,
Kimi Raikkonen,0,1009,
Antonio Giovinazzi,0,893,
George Russell,59,910,
Romain Grosjean,0,800,
Kevin Magnussen,0,814,
Nicholas Latifi,0,915,
Jack Aitken,0,87,
Pietro Fittipaldi,0,140,